T2HK flux file produced from /disk2/usr5/kachulis/T2HK_Ntuples/anumode/*.root on Sun Feb 22 04:25:51 2015
E(GeV)  nu_e   nu_e_bar   nu_mu   nu_mu_bar   nu_tau   nu_tau_bar (GeV 1.0e20 POT m^2)^-1
2.055   5.92623e+06   1.05584e+07   1.09321e+08   1.4339e+08   0   0
2.065   5.92776e+06   1.05097e+07   1.0735e+08   1.41056e+08   0   0
2.075   5.91576e+06   1.04708e+07   1.05346e+08   1.40849e+08   0   0
2.085   5.89023e+06   1.04419e+07   1.03309e+08   1.42771e+08   0   0
2.095   5.85116e+06   1.04228e+07   1.01239e+08   1.4682e+08   0   0
2.105   5.8011e+06   1.0408e+07   9.92599e+07   1.52421e+08   0   0
2.115   5.75521e+06   1.03632e+07   9.81234e+07   1.56113e+08   0   0
2.125   5.71603e+06   1.02829e+07   9.79544e+07   1.5732e+08   0   0
2.135   5.68356e+06   1.0167e+07   9.87528e+07   1.56042e+08   0   0
2.145   5.6578e+06   1.00154e+07   1.00519e+08   1.52279e+08   0   0
2.155   5.63941e+06   9.83958e+06   1.02978e+08   1.46436e+08   0   0
2.165   5.63231e+06   9.70683e+06   1.04486e+08   1.40942e+08   0   0
2.175   5.63716e+06   9.62846e+06   1.04769e+08   1.36203e+08   0   0
2.185   5.65397e+06   9.60445e+06   1.03827e+08   1.32219e+08   0   0
2.195   5.68272e+06   9.6348e+06   1.0166e+08   1.2899e+08   0   0
2.205   5.71708e+06   9.70645e+06   9.85182e+07   1.26482e+08   0   0
2.215   5.71902e+06   9.741e+06   9.5907e+07   1.24493e+08   0   0
2.225   5.68221e+06   9.72538e+06   9.40769e+07   1.2299e+08   0   0
2.235   5.60663e+06   9.65958e+06   9.30277e+07   1.21972e+08   0   0
2.245   5.4923e+06   9.54361e+06   9.27596e+07   1.2144e+08   0   0
2.255   5.34973e+06   9.38724e+06   9.31729e+07   1.2134e+08   0   0
2.265   5.24205e+06   9.24904e+06   9.36696e+07   1.21358e+08   0   0
2.275   5.17979e+06   9.13878e+06   9.415e+07   1.21441e+08   0   0
2.285   5.16294e+06   9.05645e+06   9.46142e+07   1.21589e+08   0   0
2.295   5.19151e+06   9.00207e+06   9.50621e+07   1.21802e+08   0   0
2.305   5.25728e+06   8.97215e+06   9.54047e+07   1.22073e+08   0   0
2.315   5.31099e+06   8.94584e+06   9.5108e+07   1.22371e+08   0   0
2.325   5.34441e+06   8.91966e+06   9.40828e+07   1.2269e+08   0   0
2.335   5.35756e+06   8.89361e+06   9.23292e+07   1.2303e+08   0   0
2.345   5.35043e+06   8.86769e+06   8.98472e+07   1.2339e+08   0   0
2.355   5.32449e+06   8.84094e+06   8.68199e+07   1.2368e+08   0   0
2.365   5.28855e+06   8.80757e+06   8.43459e+07   1.23356e+08   0   0
2.375   5.24407e+06   8.76662e+06   8.26084e+07   1.22326e+08   0   0
2.385   5.19106e+06   8.71809e+06   8.16073e+07   1.20591e+08   0   0
2.395   5.12952e+06   8.66197e+06   8.13426e+07   1.1815e+08   0   0
2.405   5.06138e+06   8.59825e+06   8.16609e+07   1.15167e+08   0   0
2.415   4.99828e+06   8.52676e+06   8.16409e+07   1.12617e+08   0   0
2.425   4.94216e+06   8.44747e+06   8.11291e+07   1.10663e+08   0   0
2.435   4.89301e+06   8.36039e+06   8.01255e+07   1.09305e+08   0   0
2.445   4.85085e+06   8.26552e+06   7.86302e+07   1.08543e+08   0   0
2.455   4.81563e+06   8.16538e+06   7.68069e+07   1.08349e+08   0   0
2.465   4.78718e+06   8.07515e+06   7.56384e+07   1.08558e+08   0   0
2.475   4.76546e+06   7.99736e+06   7.52886e+07   1.09142e+08   0   0
2.485   4.75047e+06   7.932e+06   7.57575e+07   1.101e+08   0   0
2.495   4.74222e+06   7.87908e+06   7.70451e+07   1.11434e+08   0   0
2.505   4.73822e+06   7.83775e+06   7.89606e+07   1.12971e+08   0   0
2.515   4.72361e+06   7.80295e+06   8.03593e+07   1.13675e+08   0   0
2.525   4.69591e+06   7.77385e+06   8.10505e+07   1.13375e+08   0   0
2.535   4.65512e+06   7.75042e+06   8.10342e+07   1.1207e+08   0   0
2.545   4.60123e+06   7.73269e+06   8.03104e+07   1.0976e+08   0   0
2.555   4.53902e+06   7.71822e+06   7.89806e+07   1.06655e+08   0   0
2.565   4.49702e+06   7.69248e+06   7.76535e+07   1.04011e+08   0   0
2.575   4.48e+06   7.65304e+06   7.64306e+07   1.0204e+08   0   0
2.585   4.48795e+06   7.59991e+06   7.5312e+07   1.00739e+08   0   0
2.595   4.52088e+06   7.53308e+06   7.42977e+07   1.0011e+08   0   0
2.605   4.57127e+06   7.45586e+06   7.33871e+07   1.00062e+08   0   0
2.615   4.59396e+06   7.38805e+06   7.25779e+07   1.00056e+08   0   0
2.625   4.58144e+06   7.33295e+06   7.18695e+07   1.00002e+08   0   0
2.635   4.5337e+06   7.29055e+06   7.12619e+07   9.98994e+07   0   0
2.645   4.45075e+06   7.26086e+06   7.07552e+07   9.97483e+07   0   0
2.655   4.34046e+06   7.24055e+06   7.03044e+07   9.95186e+07   0   0
2.665   4.25009e+06   7.20965e+06   6.96396e+07   9.90292e+07   0   0
2.675   4.1875e+06   7.16483e+06   6.87158e+07   9.82499e+07   0   0
2.685   4.1527e+06   7.10609e+06   6.7533e+07   9.71807e+07   0   0
2.695   4.14568e+06   7.03342e+06   6.60911e+07   9.58215e+07   0   0
2.705   4.16242e+06   6.95214e+06   6.4467e+07   9.42702e+07   0   0
2.715   4.17873e+06   6.89407e+06   6.31203e+07   9.31138e+07   0   0
2.725   4.19057e+06   6.86453e+06   6.21279e+07   9.245e+07   0   0
2.735   4.19794e+06   6.86351e+06   6.14897e+07   9.22789e+07   0   0
2.745   4.20085e+06   6.89102e+06   6.12057e+07   9.26005e+07   0   0
2.755   4.19869e+06   6.93849e+06   6.12353e+07   9.32779e+07   0   0
2.765   4.18787e+06   6.95458e+06   6.13348e+07   9.34906e+07   0   0
2.775   4.16779e+06   6.93074e+06   6.14638e+07   9.31017e+07   0   0
2.785   4.13846e+06   6.86698e+06   6.16222e+07   9.21112e+07   0   0
2.795   4.09986e+06   6.76328e+06   6.18099e+07   9.05192e+07   0   0
2.805   4.05446e+06   6.62947e+06   6.19792e+07   8.85079e+07   0   0
2.815   4.01698e+06   6.52447e+06   6.18433e+07   8.71709e+07   0   0
2.825   3.98987e+06   6.45812e+06   6.13544e+07   8.66905e+07   0   0
2.835   3.97312e+06   6.4304e+06   6.05124e+07   8.70667e+07   0   0
2.845   3.96675e+06   6.44131e+06   5.93173e+07   8.82994e+07   0   0
2.855   3.96902e+06   6.4814e+06   5.78814e+07   9.01941e+07   0   0
2.865   3.96958e+06   6.49384e+06   5.6878e+07   9.15827e+07   0   0
2.875   3.9667e+06   6.46916e+06   5.64194e+07   9.22707e+07   0   0
2.885   3.96038e+06   6.40737e+06   5.65055e+07   9.22581e+07   0   0
2.895   3.95063e+06   6.30846e+06   5.71363e+07   9.15448e+07   0   0
2.905   3.93653e+06   6.18012e+06   5.81872e+07   9.02099e+07   0   0
2.915   3.91266e+06   6.06845e+06   5.89102e+07   8.87277e+07   0   0
2.925   3.87812e+06   5.98114e+06   5.91805e+07   8.71771e+07   0   0
2.935   3.83291e+06   5.91819e+06   5.89983e+07   8.55582e+07   0   0
2.945   3.77703e+06   5.8796e+06   5.83634e+07   8.3871e+07   0   0
2.955   3.71449e+06   5.86148e+06   5.73248e+07   8.2212e+07   0   0
2.965   3.6694e+06   5.84049e+06   5.61758e+07   8.11603e+07   0   0
2.975   3.64577e+06   5.81275e+06   5.49653e+07   8.08125e+07   0   0
2.985   3.6436e+06   5.77825e+06   5.36933e+07   8.11685e+07   0   0
2.995   3.66289e+06   5.73699e+06   5.23598e+07   8.22285e+07   0   0
3.005   3.6991e+06   5.69013e+06   5.10261e+07   8.38361e+07   0   0
3.015   3.72489e+06   5.64455e+06   5.00596e+07   8.50541e+07   0   0
3.025   3.73571e+06   5.6014e+06   4.95217e+07   8.57264e+07   0   0
3.035   3.73156e+06   5.56069e+06   4.94124e+07   8.58529e+07   0   0
3.045   3.71244e+06   5.5224e+06   4.97316e+07   8.54336e+07   0   0
3.055   3.68084e+06   5.48697e+06   5.03718e+07   8.45604e+07   0   0
3.065   3.65169e+06   5.45683e+06   5.06882e+07   8.37839e+07   0   0
3.075   3.62747e+06   5.43241e+06   5.05733e+07   8.3196e+07   0   0
3.085   3.60818e+06   5.4137e+06   5.00271e+07   8.27967e+07   0   0
3.095   3.59382e+06   5.4007e+06   4.90496e+07   8.25859e+07   0   0
3.105   3.58233e+06   5.39052e+06   4.77393e+07   8.25053e+07   0   0
3.115   3.56143e+06   5.36573e+06   4.6688e+07   8.22039e+07   0   0
3.125   3.52904e+06   5.32342e+06   4.59941e+07   8.16235e+07   0   0
3.135   3.48518e+06   5.26361e+06   4.56578e+07   8.0764e+07   0   0
3.145   3.42983e+06   5.18628e+06   4.5679e+07   7.96253e+07   0   0
3.155   3.36585e+06   5.09493e+06   4.59824e+07   7.82982e+07   0   0
